t,luma,
0.000,42.6
0.080,40.6
0.160,44.4
0.240,42.9
0.320,41.3
0.400,53.1
0.480,38.5
0.560,77.7
0.640,51.4
0.720,110.1
0.800,84.3
0.880,127.9
0.960,121.5
1.040,113.3
1.120,125.0
1.200,78.9
1.280,101.0
1.360,46.3
1.440,65.1
1.520,38.3
1.600,46.2
1.680,40.8
1.760,40.3
1.840,42.6
1.920,41.1
2.000,40.9
2.080,49.2
2.160,38.2
2.240,68.4
2.320,47.2
2.400,102.0
2.480,77.4
2.560,126.2
2.640,116.4
2.720,120.4
2.800,128.6
2.880,83.6
2.960,104.3
3.040,51.0
3.120,75.5
3.200,38.8
3.280,51.9
3.360,41.3
3.440,43.4
3.520,44.4
3.600,41.7
3.680,40.9
3.760,45.6
3.840,38.7
3.920,64.0
4.000,43.1
